pktdeliveryratio,pktinterarrival time,packetloss,pktservicetime,class
1.10266,0.006228,388,0.306442,high
1.19576,0.01772,7,0.201899,low
1.12366,0.014471,142,0.544121,high
1.10164,0.006231,225,0.240559,high
1.06751,0.006562,184,0.413807,high
1.06751,0.006562,184,0.413807,high
1.17623,0.006731,584,0.520435,high
1.11137,0.015257,38,0.37272,medium
1.13482,0.007545,78,0.298879,medium
1.00631,0.005929,6,0.216372,low
1.01327,0.012124,7,0.197244,low
1.11307,0.006821,257,0.272267,high
1.09622,0.007455,263,0.42651,high
1.1437,0.006697,249,0.386414,high
1.0658,0.00753,146,0.498054,high
1.04273,0.007098,24,0.296602,medium
1.22638,0.006577,432,0.326723,high
1.11307,0.006821,257,0.272267,high
1.3297,0.017983,259,0.456177,high
1.10025,0.006258,41,0.143196,medium
2.18582,0.055031,12,0.013127,medium
1.13137,0.006209,82,0.273136,medium
1.08174,0.006294,280,0.416567,high
1.00762,0.006753,7,0.198902,low
1.09108,0.014109,5,0.277245,low
1.00616,0.005917,5,0.214223,low
1.04273,0.007098,24,0.296602,medium
1.00682,0.005928,6,0.121598,low
1.11561,0.006223,344,0.254055,high
1.00668,0.005912,7,0.120712,low
1.11552,0.006894,301,0.417577,high
1.00617,0.00592,5,0.219739,low
1.00635,0.005988,6,0.207376,low
1.1923,0.006713,10,0.164928,low
1.73812,0.04367,6,0.02981,medium
1.21715,0.00657,447,0.350807,high
162.818,4.47146,5,12.4242,high
1.39361,0.035083,9,0.007153,low
1.0658,0.00753,146,0.498054,high
1.15726,0.007202,450,0.621439,high
1.03785,0.006491,19,0.287064,medium
1.13137,0.006209,82,0.273136,medium
1.16606,0.006879,6,0.252486,low
1.10324,0.00625,192,0.217035,high
1.1327,0.006681,195,0.291417,medium
1.08762,0.014714,16,0.324113,medium
1.04273,0.007098,24,0.296602,medium
1.06751,0.006562,184,0.413807,high
1.11561,0.006223,344,0.254055,high
1.46896,0.023847,292,0.758533,high
1.70774,0.042996,8,0.006632,low
1.09622,0.007455,263,0.42651,high
1.00929,0.005933,6,0.119075,low
1.09531,0.006621,319,0.348623,high
1.04547,0.006419,39,0.189812,medium
1.10797,0.006218,452,0.321204,high
1.0658,0.00753,146,0.498054,high
1.0067,0.005932,5,0.122243,low
1.2455,0.013754,306,0.557357,high
1.00682,0.005928,6,0.121598,low
1.0067,0.005932,5,0.122243,low
